ds,y
02/11/2023 03:00,0.5292378069
02/11/2023 03:10,0.5342238639
02/11/2023 03:20,0.5342238639
02/11/2023 03:30,0.5347779322
02/11/2023 03:40,0.5346854920
02/11/2023 03:50,0.5380485970
02/11/2023 04:00,0.5344155143
02/11/2023 04:10,0.5390425470
02/11/2023 04:20,0.5310345719
02/11/2023 04:30,0.5310345719
02/11/2023 04:40,0.5329015422
02/11/2023 04:50,0.5091763616
02/11/2023 05:00,0.5218616563
02/11/2023 05:10,0.5234290394
02/11/2023 05:20,0.5254018011
02/11/2023 05:30,0.5248601651
02/11/2023 05:40,0.5079769499
02/11/2023 05:50,0.5057967819
02/11/2023 06:00,0.5045851229
02/11/2023 06:10,0.5080127433
02/11/2023 06:20,0.5090275843
02/11/2023 06:30,0.5077184171
02/11/2023 06:40,0.5084019909
02/11/2023 06:50,0.5101881384
02/11/2023 07:00,0.5074384928
02/11/2023 07:10,0.5072430312
02/11/2023 07:20,0.5079477516
02/11/2023 07:30,0.5096083393
02/11/2023 07:40,0.5096083393
02/11/2023 07:50,0.5115966703
02/11/2023 08:00,0.5150633134
02/11/2023 08:10,0.5119991979
02/11/2023 08:20,0.5124585986
02/11/2023 08:30,0.5112559460
02/11/2023 08:40,0.5161599331
02/11/2023 08:50,0.5142320700
02/11/2023 09:00,0.5147316450
02/11/2023 09:10,0.5142688108
02/11/2023 09:20,0.5210572749
02/11/2023 09:30,0.5210572749
02/11/2023 09:40,0.5211524269
02/11/2023 09:50,0.5234031582
02/11/2023 10:00,0.5212358004
02/11/2023 10:10,0.5287450793
02/11/2023 10:20,0.5354335431
02/11/2023 10:30,0.5264834941
02/11/2023 10:40,0.5255989733
02/11/2023 10:50,0.5255989733
02/11/2023 11:00,0.5302278031
02/11/2023 11:10,0.5261099651
02/11/2023 11:20,0.5458323389
02/11/2023 11:30,0.5472404820
02/11/2023 11:40,0.5465163397
02/11/2023 11:50,0.5423297613
02/11/2023 12:00,0.5423297613
02/11/2023 12:10,0.5405429912
02/11/2023 12:20,0.5405429912
02/11/2023 12:30,0.5401150898
02/11/2023 12:40,0.5477678786
02/11/2023 12:50,0.5539280909
02/11/2023 13:00,0.5539280909
02/11/2023 13:10,0.5313659874
02/11/2023 13:20,0.5264489168
02/11/2023 13:30,0.5264489168
02/11/2023 13:40,0.5289027771
02/11/2023 13:50,0.5291546007
02/11/2023 14:00,0.5279332027
02/11/2023 14:10,0.5279332027
02/11/2023 14:20,0.5280663062
02/11/2023 14:30,0.5275358560
02/11/2023 14:40,0.5287454743
02/11/2023 14:50,0.5241526669
02/11/2023 15:00,0.5246942315
02/11/2023 15:10,0.5287637433
02/11/2023 15:20,0.5251902240
02/11/2023 15:30,0.5247293467
02/11/2023 15:40,0.5215742789
02/11/2023 15:50,0.5224378232
02/11/2023 16:00,0.5277920441
02/11/2023 16:10,0.5269917524
02/11/2023 16:20,0.5269917524
02/11/2023 16:30,0.5321597663
02/11/2023 16:40,0.5339762705
02/11/2023 16:50,0.5290413773
02/11/2023 17:00,0.5304223002
02/11/2023 17:10,0.5370260748
02/11/2023 17:20,0.5370260748
02/11/2023 17:30,0.5414378094
02/11/2023 17:40,0.5406705244
02/11/2023 17:50,0.5400006899
02/11/2023 18:00,0.5388194955
02/11/2023 18:10,0.5389222159
02/11/2023 18:20,0.5399383793
02/11/2023 18:30,0.5390612728
02/11/2023 18:40,0.5399028605
02/11/2023 18:50,0.5389458143
02/11/2023 19:00,0.5385913538
02/11/2023 19:10,0.5383959000
02/11/2023 19:20,0.5339882333
02/11/2023 19:30,0.5327881998
02/11/2023 19:40,0.5329655333
02/11/2023 19:50,0.5360743569
02/11/2023 20:00,0.5360743569
02/11/2023 20:10,0.5364493357
02/11/2023 20:20,0.5354890603
02/11/2023 20:30,0.5367739346
02/11/2023 20:40,0.5348173725
02/11/2023 20:50,0.5363279488
02/11/2023 21:00,0.5347270247
02/11/2023 21:10,0.5363477071
02/11/2023 21:20,0.5356816461
02/11/2023 21:30,0.5368833885
02/11/2023 21:40,0.5363004500
02/11/2023 21:50,0.5367421397
02/11/2023 22:00,0.5371371589
02/11/2023 22:10,0.5370087292
02/11/2023 22:20,0.5344296295
02/11/2023 22:30,0.5359616512
02/11/2023 22:40,0.5384361073
02/11/2023 22:50,0.5383341335
02/11/2023 23:00,0.5337945475
02/11/2023 23:10,0.5337945475
02/11/2023 23:20,0.5330100619
02/11/2023 23:30,0.5340640932
02/11/2023 23:40,0.5327069683
02/11/2023 23:50,0.5321619190
02/12/2023 00:00,0.5394801259
02/12/2023 00:10,0.5394801259
02/12/2023 00:20,0.5379201473
02/12/2023 00:30,0.5367992688
02/12/2023 00:40,0.5204605992
02/12/2023 00:50,0.5240550818
02/12/2023 01:00,0.5243374572
02/12/2023 01:10,0.5248494076
02/12/2023 01:20,0.5107743929
02/12/2023 01:30,0.5107049132
02/12/2023 01:40,0.5131448418
02/12/2023 01:50,0.5121836862
02/12/2023 02:00,0.5098042641
02/12/2023 02:10,0.5098042641
02/12/2023 02:20,0.5115770157
02/12/2023 02:30,0.5045575547
02/12/2023 02:40,0.5045575547
02/12/2023 02:50,0.5048569230
02/12/2023 03:00,0.5025677764
02/12/2023 03:10,0.4996820121
02/12/2023 03:20,0.4951154703
02/12/2023 03:30,0.5006560441
02/12/2023 03:40,0.5006560441
02/12/2023 03:50,0.5017782358
02/12/2023 04:00,0.5045936390
02/12/2023 04:10,0.5045936390
02/12/2023 04:20,0.5040979345
02/12/2023 04:30,0.5065615871
02/12/2023 04:40,0.5128084419
02/12/2023 04:50,0.5128084419
02/12/2023 05:00,0.5120202152
02/12/2023 05:10,0.5075437539
02/12/2023 05:20,0.5075437539
02/12/2023 05:30,0.5098214585
02/12/2023 05:40,0.5111024237
02/12/2023 05:50,0.5149994127
02/12/2023 06:00,0.5133403680
02/12/2023 06:10,0.5142858963
02/12/2023 06:20,0.5146828803
02/12/2023 06:30,0.5149221159
02/12/2023 06:40,0.5132353304
02/12/2023 06:50,0.5132353304
02/12/2023 07:00,0.5217607359
02/12/2023 07:10,0.5217607359
02/12/2023 07:20,0.5224720043
02/12/2023 07:30,0.5230630446
02/12/2023 07:40,0.5238985405
02/12/2023 07:50,0.5231576886
02/12/2023 08:00,0.5222905372
02/12/2023 08:10,0.5225421896
02/12/2023 08:20,0.5200066785
02/12/2023 08:30,0.5198409130
02/12/2023 08:40,0.5207261476
02/12/2023 08:50,0.5186234499
02/12/2023 09:00,0.5175446108
02/12/2023 09:10,0.5186676911
02/12/2023 09:20,0.5154174725
02/12/2023 09:30,0.5141742712
02/12/2023 09:40,0.5153912938
02/12/2023 09:50,0.5156415906
02/12/2023 10:00,0.5202731242
02/12/2023 10:10,0.5210997505
02/12/2023 10:20,0.5179330130
02/12/2023 10:30,0.5180837182
02/12/2023 10:40,0.5188635953
02/12/2023 10:50,0.5188319407
02/12/2023 11:00,0.5198115695
02/12/2023 11:10,0.5178792962
02/12/2023 11:20,0.5174080131
02/12/2023 11:30,0.5173100358
02/12/2023 11:40,0.5173710118
02/12/2023 11:50,0.5193147512
02/12/2023 12:00,0.5186407321
02/12/2023 12:10,0.5164448565
02/12/2023 12:20,0.5130197603
02/12/2023 12:30,0.4992687782
